soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade,satskode
2021,34,3433,999338801,3433,24,4,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1,med draag, andre omraader",100,DEKAR,4,400,Avrenning,5.21.111.528
2021,34,3433,999338801,3433,24,4,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,162,9720,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3433,999338801,3433,24,4,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,26,1820,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,5,3432,999336027,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,2107,46354,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3432,999336027,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,492,23124,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3427,999335934,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,379,8338,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3427,999335934,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,408,19176,Opprettholde kulturlandskapet,1.2.5.151
2021,4,3429,999335632,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,2177,47894,Opprettholde kulturlandskapet,1.2.5.150
2021,4,3429,999335632,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,40,1880,Opprettholde kulturlandskapet,1.2.5.151
2021,5,3431,999331653,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,427,9394,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3431,999331653,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,32,1504,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3450,999330592,3450,31,17,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,45,4950,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3450,999330592,3450,31,17,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,6,660,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3450,999330592,3450,31,17,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,101,7575,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3450,999330592,3450,31,17,0,Biologisk mangfold,Slaatt av slaattemark,Viktig,1000,DEKAR,2,2000,Utvalgte naturtyper,2.3.90.206
2021,34,3450,999330592,3450,31,17,0,Biologisk mangfold,Slaatt av slaattemark,Ikke klassifisert,0,DEKAR,0,0,Utvalgte naturtyper,2.3.90.500
2021,34,3450,999330592,3450,31,17,0,Biologisk mangfold,Skjoetsel av biologisk verdifulle arealer,Beiting,130,DEKAR,32,4160,Prioriterte naturverdier,2.4.94.303
2021,34,3450,999330592,3450,31,17,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,20,2200,Nyere tids kulturminner,3.9.109.308
2021,5,3454,999323081,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,2533,55726,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3422,999315437,3422,36,6,0,Biologisk mangfold,Soner for pollinerende insekter,Hoey sats,10,METER,5000,50000,Prioriterte naturverdier,2.4.97.309
2021,34,3422,999315437,3422,36,6,0,Klimaraadgivning,Klimaraadgivning,En-til-en raadgiving - hoey sats,6000,ANTALL,1,6000,Klimaraadgivning,22.23.139.530
2021,34,3422,999315437,3422,36,6,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,80,8800,Nyere tids kulturminner,3.9.109.303
2021,34,3422,999315437,3422,36,6,0,Avrenning til vann,Ingen jordarbeiding om hoesten,Ikke klassifisert,0,DEKAR,0,0,Avrenning,5.21.111.500
2021,34,3422,999315437,3422,36,6,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, andre omraader",70,DEKAR,98,6860,Avrenning,5.21.111.516
2021,34,3422,999315437,3422,36,6,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 2, andre omraader",125,DEKAR,327,40875,Avrenning,5.21.111.517
2021,34,3422,999315437,3422,36,6,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1,med draag, andre omraader",100,DEKAR,7,700,Avrenning,5.21.111.528
2021,34,3422,999315437,3422,36,6,0,Avrenning til vann,Fangvekster som underkultur,Andre omraader,100,DEKAR,433,43300,Avrenning,5.21.115.506
2021,34,3422,999315437,3422,36,6,0,Utslipp til luft,Nedfelling eller nedlegging av husdyrgjoedsel,Nedfelling eller nedlegging av husdyrgjoedsel,80,DEKAR,293,23440,Miljoevennlig spredning av husdyrgjoedsel,6.13.126.000
2021,5,3442,999315402,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,400,18800,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3438,999315291,3438,123,9,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,61,6710,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3438,999315291,3438,123,9,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,25,2750,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3438,999315291,3438,123,9,0,Kulturlandskap,Drift av bratt areal,Ikke klassifisert,0,DEKAR,0,0,Regionalt prioriterte kulturlandskap,1.1.82.500
2021,34,3438,999315291,3438,123,9,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,49,5390,Nyere tids kulturminner,3.9.109.308
2021,34,3452,999314899,3452,64,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,97,10670,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3452,999314899,3452,64,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,12,1320,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3452,999314899,3452,64,3,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,227,17025,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3452,999314899,3452,64,3,0,Kulturminner og kulturmiljoeer,Drift av seter,Levering til meieri,60000,ANDEL,1,60000,Setring,3.6.100.312
2021,34,3452,999314899,3452,64,3,0,Plantevern,Ugrasharving i aaker,Ugrasharving i aaker,70,DEKAR,0,0,Redusert bruk av kjemiske plantevernmidler,7.14.130.000
2021,34,3426,999309119,3426,10,4,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,43,4730,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3426,999309119,3426,10,4,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,25,1875,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3426,999309119,3426,10,4,0,Kulturminner og kulturmiljoeer,Drift av seter,Levering til meieri,60000,ANDEL,1,60000,Setring,3.6.100.312
2021,34,3426,999309119,3426,10,4,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,20,2200,Nyere tids kulturminner,3.9.109.303
2021,34,3426,999309119,3426,10,4,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,30,3300,Nyere tids kulturminner,3.9.109.308
2021,34,3426,999309119,3426,10,4,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,17,1020,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3426,999309119,3426,10,4,0,Utslipp til luft,Nedfelling eller nedlegging av husdyrgjoedsel,Nedfelling eller nedlegging av husdyrgjoedsel,80,DEKAR,305,24400,Miljoevennlig spredning av husdyrgjoedsel,6.13.126.000
2021,34,3426,999309119,3426,10,4,0,Utslipp til luft,Spredning av husdyrgjoedsel med tilfoerselsslange,Spredning av husdyrgjoedsel med tilfoerselsslange,60,DEKAR,305,18300,Miljoevennlig spredning av husdyrgjoedsel,6.13.128.000
2021,34,3446,999306896,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,7043,154946,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3454,999305148,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,960,21120,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3454,999305148,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,85,3995,Opprettholde kulturlandskapet,1.2.5.151
2021,5,3454,999304915,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,1888,41536,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3454,999304915,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,155,7285,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3439,999303846,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,3333,73326,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3439,999303846,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,111,5217,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3433,999303439,3433,101,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,58,6380,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3433,999303439,3433,101,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,6,660,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3433,999303439,3433,101,3,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,11,825,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3433,999303439,3433,101,3,0,Biologisk mangfold,Skjoetsel av biologisk verdifulle arealer,Beiting,130,DEKAR,21,2730,Prioriterte naturverdier,2.4.94.303
2021,34,3433,999303439,3433,101,3,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,63,3780,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3433,999303439,3433,101,3,0,Utslipp til luft,Spredning av husdyrgjoedsel med tilfoerselsslange,Spredning av husdyrgjoedsel med tilfoerselsslange,60,DEKAR,63,3780,Miljoevennlig spredning av husdyrgjoedsel,6.13.128.000
2021,4,3423,999300995,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,726,15972,Opprettholde kulturlandskapet,1.2.5.150
2021,4,3423,999300995,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,89,4183,Opprettholde kulturlandskapet,1.2.5.151
2021,5,3442,999298001,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,4527,99594,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3418,999297587,3418,183,1,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,131,7860,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3418,999297587,3418,183,1,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,69,4830,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3436,999297048,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,142,3124,Opprettholde kulturlandskapet,1.2.5.150
