soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall_enhet,beloep
2017,15,1511,897147122,1511,10,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,0,0
2017,15,1511,897147122,1511,10,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,70,3220
2017,15,1515,970568476,1515,83,5,0,Utslipp til luft,Bruk av tilførselsslanger,Bruk av tilførselsslanger,70,DEKAR,27,1890
2017,15,1515,970568476,1515,83,5,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,27,1242
2017,15,1548,999177255,1548,94,7,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,140,18200
2017,15,1548,999177255,1548,94,7,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,94,3600
2017,15,1548,999177255,1548,94,7,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,1000,ANTALL,3,3000
2017,15,1519,982019613,1519,161,17,0,Utslipp til luft,Bruk av tilførselsslanger,Bruk av tilførselsslanger,70,DEKAR,167,11690
2017,15,1519,982019613,1519,161,17,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,184,8464
2017,12,1256,912700356,1256,37,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,209,DEKAR,5,1045
2017,12,1256,912700356,1256,37,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,450,DEKAR,1,450
2017,12,1256,912700356,1256,37,1,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,5,METER,189,945
2017,18,1811,969187868,1811,101,5,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,1093,"4153,4"
2017,15,1523,869131172,1523,74,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,122,15860
2017,15,1523,869131172,1523,74,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,3,390
2017,15,1523,869131172,1523,74,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,384,17664
2017,15,1524,895006122,1524,58,9,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,129,16770
2017,15,1524,895006122,1524,58,9,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,47,200
2017,15,1524,895006122,1524,58,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,63,8190
2017,15,1524,895006122,1524,58,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,16,2080
2017,11,1102,815583272,1102,32,15,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Lav tilrettelegging,4,METER,635,2540
2017,11,1145,870245262,1145,23,6,0,Biologisk mangfold,Skjøtsel av kystlynghei,Verdifull,40,DEKAR,0,0
2017,11,1145,870245262,1145,23,6,0,Biologisk mangfold,Skjøtsel av kystlynghei,Særlig verdifull,60,DEKAR,331,19860
2017,1,119,916499728,119,37,9,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,1,119,916499728,119,37,9,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,10,0
2017,1,119,916499728,119,37,9,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,134,DEKAR,71,9514
2017,15,1539,969423456,1539,9,1,0,Kulturmiljøer og kulturminner,Drift av fellesseter med melkeproduksjon,4-6 uker,30000,ANDEL,3,10000
2017,15,1539,969482061,1539,156,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,79,3634
2017,15,1515,916874901,1515,3,8,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,5,400
2017,15,1551,998333407,1551,171,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,54,2484
2017,18,1822,969341425,1822,89,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,107,2675
2017,5,532,997601874,532,170,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,94,DEKAR,6,564
2017,5,532,997601874,532,170,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,5,532,997601874,532,170,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,105,DEKAR,94,9870
2017,18,1871,869703192,1871,21,6,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Middels beitetrykk,280,DEKAR,30,8400
2017,18,1871,869703192,1871,21,6,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Lavt beitetrykk,150,DEKAR,53,7950
2017,18,1871,869703192,1871,21,6,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,104,2600
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,0,0
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,100,DEKAR,36,3600
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,180,DEKAR,5,900
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,180,DEKAR,5,900
2017,8,806,911953641,806,281,15,0,Avrenning til vassdrag og kyst,Vegetasjonssone,Korn,20,METER,233,4660
2017,15,1516,988971766,1516,1,5,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,1000,ANTALL,4,4000
2017,15,1557,969852950,1557,56,14,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,37,4810
2017,15,1557,969852950,1557,56,14,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,2,260
2017,15,1557,969852950,1557,56,14,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,70,3220
2017,15,1567,864332692,1567,43,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,79,10270
2017,15,1567,864332692,1567,43,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,2,260
2017,15,1567,864332692,1567,43,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,298,13708
2017,11,1133,974275325,1133,14,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,54,DEKAR,36,1944
2017,11,1133,974275325,1133,14,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,56,DEKAR,13,728
2017,11,1133,974275325,1133,14,1,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,80,ANTALL,190,15200
2017,11,1133,974275325,1133,14,1,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Lav tilrettelegging,4,METER,267,1068
2017,15,1502,981131835,1502,56,14,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,0,0
2017,15,1502,981131835,1502,56,14,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,100,DYREENHETER,0,0
2017,15,1502,981131835,1502,56,14,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,26,3380
2017,15,1502,981131835,1502,56,14,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,5,650
2017,15,1502,981131835,1502,56,14,0,Biologisk mangfold,Skjøtsel av kystlynghei,Verdifull,40,DEKAR,653,26120
2017,15,1502,981131835,1502,56,14,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,30,1380
2017,12,1266,983744672,1266,2,5,0,Kulturlandskap,Beite i utmark,Sau/geit,39,ANTALL_DYR,51,1989
2017,11,1119,985066396,1119,57,9,0,Biologisk mangfold,Slått av biologisk verdifulle arealer,Slått av biologisk verdifulle arealer,150,DEKAR,50,7500
2017,11,1119,985066396,1119,57,9,0,Kulturmiljøer og kulturminner,Skjøtsel av andre automatisk fredede kulturminner,Beite,100,DEKAR,30,3000
2017,15,1576,989144022,1576,47,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,38,4940
2017,15,1576,989144022,1576,47,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,10,1300
2017,11,1149,915253237,1149,141,3,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Høy tilrettelegging,6,METER,681,4086
2017,15,1543,969213052,1543,36,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,18,2340
2017,15,1543,969213052,1543,36,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,1,130
2017,11,1129,979518080,1129,30,1,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Øyer/holmer/veiløse områder,540,DEKAR,130,50000
2017,11,1129,979518080,1129,30,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Øyer/holmer/veiløse områder,500,DYREENHETER,100,50000
2017,11,1129,979518080,1129,30,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,54,DEKAR,51,2754
2017,11,1129,979518080,1129,30,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,56,DEKAR,82,4592
2017,11,1119,986399283,1119,32,13,0,Avrenning til vassdrag og kyst,Ugjødsla randsone i eng,Ugjødsla randsone i eng,7,METER,709,4963
2017,11,1119,986399283,1119,32,13,0,Avrenning til vassdrag og kyst,Miljøavtale,Trinn 1,60,DEKAR,263,15780
2017,14,1430,982372895,1430,91,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,284,DEKAR,26,7384
2017,14,1430,982372895,1430,91,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,426,DEKAR,17,7242
2017,14,1430,982372895,1430,91,2,0,Kulturlandskap,Beite i utmark,Sau/geit,50,ANTALL_DYR,0,0
2017,14,1430,982372895,1430,91,2,0,Kulturlandskap,Beite i utmark,Hest/storfe,100,ANTALL_DYR,0,0
2017,14,1430,982372895,1430,91,2,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,150,ANTALL,20,3000
2017,14,1430,982372895,1430,91,2,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,9,METER,514,4626
2017,4,423,980419029,423,14,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,4,423,980419029,423,14,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,60,DEKAR,62,3720
2017,4,423,980419029,423,14,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,105,DEKAR,106,11130
2017,4,423,980419029,423,14,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,180,DEKAR,6,1080
2017,11,1119,916350953,1119,118,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,54,DEKAR,40,2160
2017,11,1119,916350953,1119,118,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,56,DEKAR,16,896
2017,11,1119,916350953,1119,118,1,0,Biologisk mangfold,Skjøtsel av kystlynghei,Særlig verdifull,60,DEKAR,872,50000
2017,11,1119,916350953,1119,118,1,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Lav tilrettelegging,4,METER,314,1256
2017,11,1119,916350953,1119,118,1,0,Avrenning til vassdrag og kyst,Ugjødsla randsone i eng,Ugjødsla randsone i eng,7,METER,584,4088
2017,11,1119,997304349,1119,45,37,0,Avrenning til vassdrag og kyst,Ugjødsla randsone i eng,Ugjødsla randsone i eng,7,METER,263,1841
2017,11,1119,997304349,1119,45,37,0,Avrenning til vassdrag og kyst,Miljøavtale,Trinn 2,50,DEKAR,325,16250
2017,11,1119,997304349,1119,45,37,0,Utslipp til luft,Nedlegging og nedfelling,Voksende kultur,80,DEKAR,74,5920
2017,11,1119,997304349,1119,45,37,0,Utslipp til luft,Bruk av tilførselsslanger,Bruk av tilførselsslanger,50,DEKAR,74,3700
2017,11,1119,997304349,1119,45,37,0,Utslipp til luft,Spredning med rask nedmolding,Spredning med rask nedmolding,30,DEKAR,48,1440
2017,15,1511,980978168,1511,25,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,13,1690
2017,15,1511,980978168,1511,25,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,1,130
2017,15,1511,980978168,1511,25,9,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,85,3910
2017,15,1573,969424827,1573,13,4,0,Utslipp til luft,Bruk av tilførselsslanger,Bruk av tilførselsslanger,70,DEKAR,83,5810
2017,15,1573,969424827,1573,13,4,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,83,3818
2017,4,436,995530236,436,3,10,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med melkeproduksjon,4-6 uker,42000,ANTALL,1,42000
2017,4,436,995530236,436,3,10,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,180,DEKAR,30,5400
2017,4,436,995530236,436,3,10,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,52,DEKAR,144,7488
2017,4,419,982082609,419,9,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,4,419,982082609,419,9,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,22,0
2017,4,419,982082609,419,9,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,0,DEKAR,123,0
