komnr,gardsnr,bruksnr,festenr,bruksnavn,jordbruksareal,skogareal,annet_areal,fulldyrket,overflatedyrket,innmarksbeite,l_komnr,l_gardsnr,l_bruksnr,l_festenr
0301,147,191,0,IKKE MÅLT,7,24,4,7,0,0,0301,13,36,0
0301,147,193,0,IKKE MÅLT,7,1,1,0,0,7,0301,13,36,0
0301,168,24,0,IKKE MÅLT,11,20,2,0,0,11,0301,13,36,0
0301,168,27,0,IKKE MÅLT,39,66,4,19,0,20,0301,13,36,0
0301,170,4,0,IKKE MÅLT,8,16,7,8,0,0,0301,13,36,0
0301,171,1,0,IKKE MÅLT,29,235,136,29,0,0,0301,13,36,0
0301,172,115,0,IKKE MÅLT,17,15,16,17,0,0,0301,13,36,0
0301,172,123,0,IKKE MÅLT,47,204,24,47,0,0,0301,13,36,0
0301,172,128,0,IKKE MÅLT,20,165,35,20,0,0,0301,13,36,0
0301,172,129,0,IKKE MÅLT,23,0,6,23,0,0,0301,13,36,0
0301,187,1,0,IKKE MÅLT,81,776,166,81,0,0,0301,13,36,0
0301,196,12,0,IKKE MÅLT,30,23,46,0,0,30,0301,13,36,0
0301,206,1,0,IKKE MÅLT,30,268,171,5,4,21,0301,13,36,0
0301,14,1,0,Tangen,199,766,64,139,5,55,0301,14,1,0
0301,13,2,0,Solberg,4,39152,1902,0,4,0,0301,15,1,0
0301,13,26,0,Solberg,21,74,8,21,0,0,0301,15,1,0
0301,15,1,0,Solberg,79,393,58,77,2,0,0301,15,1,0
0301,16,2,0,Solberg,21,12,5,21,0,0,0301,15,1,0
0301,16,4,0,Solberg,0,1731,39,0,0,0,0301,15,1,0
0301,16,8,0,Solberg,64,0,12,57,0,7,0301,15,1,0
0301,16,10,0,Solberg,0,6,2,0,0,0,0301,15,1,0
0301,17,1,0,Solberg,119,181,22,116,0,3,0301,15,1,0
0301,18,1,0,Solberg,31,443,53,0,28,3,0301,15,1,0
0301,19,1,0,Solberg,30,217,12,28,2,0,0301,15,1,0
0301,20,1,0,Solberg,114,640,65,87,0,27,0301,15,1,0
0301,21,1,0,Solberg,80,307,10,73,0,7,0301,15,1,0
0301,22,1,0,Solberg,0,119,13,0,0,0,0301,15,1,0
0301,22,6,0,Solberg,0,51,3,0,0,0,0301,15,1,0
0301,23,1,0,Solberg,9,14,2,4,5,0,0301,15,1,0
0301,25,1,0,Solberg,20,18,1,7,9,4,0301,15,1,0
0301,25,2,0,Solberg,2,1875,546,0,0,2,0301,15,1,0
0301,39,2,0,Solberg,0,2210,418,0,0,0,0301,15,1,0
0301,62,1,0,Solberg,0,2330,94,0,0,0,0301,15,1,0
0301,67,1,0,Solberg,38,55406,20409,3,13,22,0301,15,1,0
0301,67,7,0,Solberg,30,6001,2075,0,0,30,0301,15,1,0
0301,67,24,0,Solberg,4,2517,193,0,0,4,0301,15,1,0
0301,67,25,0,Solberg,76,25,16,26,4,46,0301,15,1,0
0301,67,26,0,Solberg,51,24,10,0,3,48,0301,15,1,0
0301,67,29,0,Solberg,0,1,4,0,0,0,0301,15,1,0
0301,67,30,0,Solberg,0,6,6,0,0,0,0301,15,1,0
0301,67,31,0,Solberg,0,2,2,0,0,0,0301,15,1,0
0301,68,1,0,Solberg,23,11088,3200,20,2,1,0301,15,1,0
0301,69,2,0,Solberg,7,1501,68,0,7,0,0301,15,1,0
0301,69,6,0,Solberg,0,167,0,0,0,0,0301,15,1,0
0301,69,24,0,Solberg,0,417,3,0,0,0,0301,15,1,0
0301,71,1,0,Solberg,0,6196,315,0,0,0,0301,15,1,0
0301,15,2,0,,61,123,17,61,0,0,0301,15,2,0
0301,15,3,0,,5,2,6,5,0,0,0301,15,3,0
0301,16,1,0,STUBBERUD,365,538,57,283,3,79,0301,16,1,0
0301,16,16,0,LØNNÅS SØRKEDALEN 0757 OSLO 7,27,30,5,0,0,27,0301,16,16,0
0301,13,27,0,Nordre Berger,2,29,0,2,0,0,0301,17,2,0
0301,17,2,0,Nordre Berger,13,7,6,13,0,0,0301,17,2,0
0301,17,9,0,,1,10,5,1,0,0,0301,17,9,0
0301,13,17,0,,0,71,0,0,0,0,0301,17,10,0
0301,17,10,0,,140,43,26,119,11,10,0301,17,10,0
0301,20,2,0,,28,11,3,28,0,0,0301,17,10,0
0301,17,11,0,,3,0,16,3,0,0,0301,17,11,0
0301,17,12,0,,24,27,7,9,0,15,0301,17,12,0
0301,17,15,0,Søndre Venner,16,1,4,13,0,3,0301,17,15,0
0301,17,19,0,VENNER VESTRE  SØRKEDALEN,59,56,15,47,0,12,0301,17,19,0
0301,18,2,0,,72,149,12,34,18,20,0301,18,2,0
0301,19,4,0,"\KJELSAAS\""""",101,181,11,43,5,53,0301,19,4,0
0301,19,5,0,LYSE NEDRE,82,135,27,82,0,0,0301,19,5,0
0301,22,5,0,LYSE NEDRE,57,133,29,45,10,2,0301,19,5,0
0301,19,6,0,Lysebråten,31,6,13,24,7,0,0301,19,6,0
0301,20,3,0,,11,4,10,11,0,0,0301,20,3,0
0301,20,4,0,,80,82,36,72,0,8,0301,20,4,0
0301,20,7,0,,14,5,3,8,0,6,0301,20,7,0
0301,20,9,0,,2,7,4,2,0,0,0301,20,9,0
0301,20,13,0,ØVRE GRAN,48,147,30,22,0,26,0301,20,13,0
0301,21,2,0,ELVELI,36,163,151,24,10,2,0301,21,2,0
0301,21,3,0,ØVERLI,0,62,8,0,0,0,0301,21,3,0
0301,21,10,0,GRØTTUM,9,11,5,0,4,5,0301,21,10,0
0301,21,16,0,SMEDSTUA,28,30,3,0,12,16,0301,21,16,0
0301,23,2,0,,173,121,23,173,0,0,0301,23,2,0
0301,23,3,0,,16,18,6,16,0,0,0301,23,3,0
0301,24,2,0,Bjelkerud,1,13,6,0,1,0,0301,24,2,0
0301,24,3,0,,102,96,57,102,0,0,0301,24,3,0
0301,24,4,0,,83,56,18,67,0,16,0301,24,4,0
0301,24,5,0,,0,0,3,0,0,0,0301,24,5,0
0301,24,10,0,,0,0,1,0,0,0,0301,24,10,0
0301,25,3,0,FRAMSTUA,8,99,8,0,0,8,0301,25,3,0
0301,25,5,0,Svartorsetra,3,146,8,0,0,3,0301,25,5,0
0301,25,6,0,,0,97,19,0,0,0,0301,25,6,0
0301,25,7,0,,0,18,3,0,0,0,0301,25,7,0
0301,25,8,0,FRAMSTUEN,,,,0,0,,0301,25,8,0
0301,25,9,0,,0,50,6,0,0,0,0301,25,9,0
0301,25,11,0,,0,28,0,0,0,0,0301,25,11,0
0301,25,12,0,,0,4,0,0,0,0,0301,25,12,0
0301,25,14,0,,0,37,4,0,0,0,0301,25,14,0
0301,25,15,0,,0,88,0,0,0,0,0301,25,15,0
0301,25,19,0,PARSELL V,0,20,4,0,0,0,0301,25,19,0
0301,25,20,0,,0,28,5,0,0,0,0301,25,20,0
0301,25,24,0,,0,16,0,0,0,0,0301,25,24,0
0301,25,25,0,,0,15,0,0,0,0,0301,25,25,0
0301,25,26,0,SØRKEDALEN ØST,0,15,1,0,0,0,0301,25,26,0
0301,25,29,0,SVARTORSETER,28,15,4,0,0,28,0301,25,29,0
0301,26,1,0,Finnerud,135,811,53,4,2,129,0301,26,1,0
0301,27,2,0,Voksen,0,0,4,0,0,0,0301,27,2,0
0301,27,18,0,RØDKLEIVA,0,15,0,0,0,0,0301,27,18,0
0301,27,160,0,RØDKLEIVA,0,32,0,0,0,0,0301,27,18,0
0301,27,164,0,ØGAARDEN,0,153,9,0,0,0,0301,27,164,0
0301,27,679,0,ØGAARDEN,0,54,1,0,0,0,0301,27,164,0
0301,27,1183,0,ØGAARDEN,0,84,0,0,0,0,0301,27,164,0
0301,27,259,0,,0,206,8,0,0,0,0301,27,259,0
0301,27,261,0,PARSELL 6,0,11,3,0,0,0,0301,27,261,0
0301,27,319,0,,0,7,4,0,0,0,0301,27,319,0
0301,27,320,0,,0,20,0,0,0,0,0301,27,320,0
0301,27,680,0,,0,27,0,0,0,0,0301,27,680,0
0301,27,1297,0,,0,0,1,0,0,0,0301,27,1297,0
0301,27,1328,0,GRAVLUND,10,33,10,10,0,0,0301,27,1328,0
0301,27,2263,0,GRAVLUND,12,0,2,12,0,0,0301,27,1328,0
0301,27,2264,0,GRAVLUND,6,0,0,6,0,0,0301,27,1328,0
0301,27,1355,0,,0,14,0,0,0,0,0301,27,1355,0
0301,27,1569,0,,0,27,0,0,0,0,0301,27,1569,0
0301,27,2286,0,,0,482,4,0,0,0,0301,27,2286,0
0301,28,309,0,SEKSJON 1-285,0,13,38,0,0,0,0301,28,309,0
0301,28,977,0,,0,0,4,0,0,0,0301,28,977,0
0301,29,4,0,Nordre Huseby,10,259,224,10,0,0,0301,29,4,0
0301,29,588,0,,0,35,2,0,0,0,0301,29,588,0
0301,33,3,0,Holmen skog,0,771,82,0,0,0,0301,33,3,0
0301,33,18,0,,0,165,1,0,0,0,0301,33,18,0
0301,33,26,0,,0,20,6,0,0,0,0301,33,26,0
0301,33,84,0,,0,36,2,0,0,0,0301,33,84,0
0301,33,1098,0,,0,14,30,0,0,0,0301,33,1098,0
0301,33,1104,0,KONGSSÆTEREN,0,58,10,0,0,0,0301,33,1104,0
0301,33,1150,0,,0,8,4,0,0,0,0301,33,1150,0
0301,33,1155,0,PARS.19,0,3,4,0,0,0,0301,33,1155,0
0301,33,1159,0,"PARS.8,9",0,8,4,0,0,0,0301,33,1159,0
0301,33,1163,0,TROLDSTUPET,0,7,3,0,0,0,0301,33,1163,0
0301,33,2121,0,,0,27,10,0,0,0,0301,33,2121,0
0301,35,10,0,,0,10,2,0,0,0,0301,35,10,0
0301,35,135,0,,0,0,2,0,0,0,0301,35,135,0
0301,35,467,0,,0,4,0,0,0,0,0301,35,467,0
0301,35,471,0,,0,5,3,0,0,0,0301,35,471,0
0301,35,507,0,,0,11,1,0,0,0,0301,35,507,0
0301,37,40,0,,0,20,0,0,0,0,0301,37,40,0
0301,37,41,0,,0,36,0,0,0,0,0301,37,41,0
0301,37,42,0,,0,33,4,0,0,0,0301,37,42,0
0301,37,47,0,,0,35,3,0,0,0,0301,37,47,0
0301,37,49,0,,0,34,1,0,0,0,0301,37,49,0
0301,37,50,0,,0,34,3,0,0,0,0301,37,50,0
0301,2,114,0,,0,26,25,0,0,0,0301,37,51,0
0301,37,51,0,,0,28,8,0,0,0,0301,37,51,0
0301,37,147,0,,0,5,0,0,0,0,0301,37,147,0
0301,37,148,0,,0,5,0,0,0,0,0301,37,148,0
0301,37,149,0,,0,8,0,0,0,0,0301,37,149,0
0301,37,150,0,,0,6,0,0,0,0,0301,37,150,0
0301,37,184,0,,0,16,0,0,0,0,0301,37,184,0
0301,37,226,0,,0,25,1,0,0,0,0301,37,226,0
0301,39,202,0,LØRENSETER. Se merkn.,12,114,10,0,5,7,0301,39,202,0
0301,42,1,0,Gaustad,162,2964,355,162,0,0,0301,42,1,0
0301,46,1,0,PRESTEGÅRDEN,25,639,39,0,0,25,0301,46,1,0
0301,46,109,0,PRESTEGÅRDEN,0,1,15,0,0,0,0301,46,1,0
0301,47,215,0,,0,0,18,0,0,0,0301,47,215,0
0301,49,37,0,,0,0,275,0,0,0,0301,49,37,0
0301,51,44,0,,0,0,1,0,0,0,0301,51,44,0
0301,52,77,0,,0,0,2,0,0,0,0301,52,77,0
0301,54,2,0,Sommero (Lille Brennenga),67,44,10,67,0,0,0301,54,2,0
0301,58,63,0,,0,0,2,0,0,0,0301,58,63,0
0301,59,434,0,,0,0,0,0,0,0,0301,59,434,0
0301,53,2,0,BRENNENGEN,156,178,5,156,0,0,0301,60,1,0
0301,53,3,0,BRENNENGEN,13,40,2,13,0,0,0301,60,1,0
0301,53,7,0,BRENNENGEN,4,1,0,4,0,0,0301,60,1,0
0301,54,9,0,BRENNENGEN,113,117,22,113,0,0,0301,60,1,0
0301,59,350,0,BRENNENGEN,26,505,66,26,0,0,0301,60,1,0
0301,60,1,0,BRENNENGEN,142,302,28,132,3,7,0301,60,1,0
0301,60,4,0,BRENNENGEN,6,2,1,6,0,0,0301,60,1,0
0301,61,1,0,SKJERVEN,26,2578,58,26,0,0,0301,61,1,0
0301,61,5,0,Skjerven,345,370,73,290,0,55,0301,61,5,0
0301,62,3,0,Kirkeby,7,30,25,7,0,0,0301,62,3,0
0301,62,4,0,Kirkeby,,,,,,,0301,62,4,0
0301,62,5,0,Kirkeby,244,256,83,204,0,40,0301,62,5,0
0301,63,1,0,Ødegården,179,269,35,169,0,10,0301,63,1,0
0301,64,4,0,Ødegården,14,50,29,14,0,0,0301,63,1,0
0301,65,1,0,Ødegården,133,1435,112,98,2,33,0301,63,1,0
0301,64,1,0,Hauger,113,295,52,60,1,52,0301,64,1,0
0301,64,2,0,Kasa,68,124,17,68,0,0,0301,64,2,0
0301,65,3,0,Petersberg (Turterbakken),0,12,4,0,0,0,0301,65,3,0
0301,65,5,0,Katnosberget,17,7,4,17,0,0,0301,65,5,0
0301,66,1,0,Skar,187,235,34,162,0,25,0301,66,1,0
0301,66,31,0,,0,1,3,0,0,0,0301,66,31,0
0301,67,8,0,,0,39,2,0,0,0,0301,67,8,0
0301,67,13,0,,0,18,4,0,0,0,0301,67,13,0
0301,67,17,0,,0,48,47,0,0,0,0301,67,17,0
0301,69,90,0,,0,4,0,0,0,0,0301,67,17,0
0301,67,18,0,,0,29,9,0,0,0,0301,67,18,0
0301,67,19,0,,0,34,6,0,0,0,0301,67,19,0
0301,67,20,0,,0,83,2,0,0,0,0301,67,20,0
0301,67,28,0,,33,76,8,1,6,26,0301,67,28,0
0301,67,34,0,V/BJØRNHOLT,3,70,7,0,3,0,0301,67,34,0
0301,69,1,0,Øvre Vaggestein,82,1367,231,68,0,14,0301,69,1,0
0301,69,4,0,Øvre Vaggestein,18,1724,193,18,0,0,0301,69,1,0
0301,69,3,0,SØRBRÅTEN,65,28,6,57,0,8,0301,69,9,0
0301,69,9,0,SØRBRÅTEN,44,192,47,28,0,16,0301,69,9,0
0301,69,11,0,IKKE MÅLT,9,9,5,9,0,0,0301,69,11,0
0301,69,51,0,,88,172,14,88,0,0,0301,69,51,0
0301,69,52,0,,56,245,14,56,0,0,0301,69,51,0
0301,69,88,0,,0,61,5,0,0,0,0301,69,88,0
0301,69,153,0,,0,3,2,0,0,0,0301,69,153,0
0301,69,309,0,,0,1,3,0,0,0,0301,69,309,0
0301,70,1,0,Nes,179,249,37,159,6,14,0301,70,2,0
0301,70,2,0,Nes,75,169,16,75,0,0,0301,70,2,0
0301,70,5,0,Nes,77,12,18,77,0,0,0301,70,2,0
0301,71,2,0,,0,113,50,0,0,0,0301,71,2,0
0301,71,4,0,SANDER,279,874,59,264,15,0,0301,71,4,0
0301,75,1,0,GREFSENÅSEN,0,1105,219,0,0,0,0301,75,1,0
0301,75,25,0,GREFSENÅSEN,0,496,15,0,0,0,0301,75,1,0
0301,75,95,0,GREFSENÅSEN,0,764,48,0,0,0,0301,75,1,0
0301,75,229,0,GREFSENÅSEN,0,2219,154,0,0,0,0301,75,1,0
0301,85,2,0,GREFSENÅSEN,0,600,6,0,0,0,0301,75,1,0
0301,86,218,0,GREFSENÅSEN,0,862,16,0,0,0,0301,75,1,0
0301,86,502,0,GREFSENÅSEN,0,798,40,0,0,0,0301,75,1,0
0301,88,2,0,GREFSENÅSEN,0,483,49,0,0,0,0301,75,1,0
0301,88,3,0,GREFSENÅSEN,0,536,7,0,0,0,0301,75,1,0
0301,90,2,0,GREFSENÅSEN,0,76,26,0,0,0,0301,75,1,0
0301,90,52,0,GREFSENÅSEN,0,61,1,0,0,0,0301,75,1,0
0301,90,396,0,GREFSENÅSEN,0,71,0,0,0,0,0301,75,1,0
0301,93,1,0,GREFSENÅSEN,0,165,28,0,0,0,0301,75,1,0
0301,94,7,0,GREFSENÅSEN,0,567,196,0,0,0,0301,75,1,0
0301,94,17,0,GREFSENÅSEN,0,139,8,0,0,0,0301,75,1,0
0301,94,104,0,GREFSENÅSEN,0,249,175,0,0,0,0301,75,1,0
0301,95,6,0,GREFSENÅSEN,0,531,45,0,0,0,0301,75,1,0
0301,95,9,0,GREFSENÅSEN,0,1836,94,0,0,0,0301,75,1,0
0301,95,10,0,GREFSENÅSEN,0,1825,176,0,0,0,0301,75,1,0
0301,95,17,0,GREFSENÅSEN,0,306,0,0,0,0,0301,75,1,0
0301,96,36,0,GREFSENÅSEN,0,400,104,0,0,0,0301,75,1,0
0301,97,76,0,GREFSENÅSEN,0,77,10,0,0,0,0301,75,1,0
0301,97,153,0,GREFSENÅSEN,0,165,21,0,0,0,0301,75,1,0
0301,98,5,0,GREFSENÅSEN,0,36,49,0,0,0,0301,75,1,0
0301,98,71,0,GREFSENÅSEN,0,79,11,0,0,0,0301,75,1,0
0301,85,111,0,,65,492,185,0,0,65,0301,85,111,0
0301,86,2,0,Disen,0,113,1,0,0,0,0301,86,2,0
0301,86,458,0,,0,127,41,0,0,0,0301,86,458,0
0301,86,825,0,,0,0,1,0,0,0,0301,86,825,0
0301,87,1,0,Årvoll,0,518,25,0,0,0,0301,87,1,0
0301,87,33,0,,0,247,2,0,0,0,0301,87,33,0
0301,88,1,0,LINDERUD GÅRD,12,9,24,12,0,0,0301,88,1,0
0301,89,24,0,,0,0,24,0,0,0,0301,89,24,0
0301,90,1,0,RØDTVEIT,0,536,16,0,0,0,0301,90,1,0
0301,92,1,0,Nordtvet,0,0,34,0,0,0,0301,92,1,0
0301,95,2,0,Vestre Huken,0,4,12,0,0,0,0301,95,2,0
0301,95,4,0,HUKEN,0,288,0,0,0,0,0301,95,4,0
0301,95,26,0,,0,44,0,0,0,0,0301,95,26,0
0301,95,31,0,,0,67,1,0,0,0,0301,95,31,0
0301,96,1,0,ROMSAAS,0,1107,66,0,0,0,0301,96,1,0
0301,97,3,0,Rommen,0,81,0,0,0,0,0301,97,3,0
0301,97,5,0,Bakken,0,48,3,0,0,0,0301,97,5,0
0301,98,1,0,BÅNKALL,0,253,48,0,0,0,0301,98,1,0
0301,98,46,0,BÅNKALL,0,5,3,0,0,0,0301,98,1,0
0301,98,87,0,BÅNKALL,0,62,169,0,0,0,0301,98,1,0
0301,98,2,0,ENGEN,0,23,11,0,0,0,0301,98,2,0
0301,98,3,0,Engen,0,110,82,0,0,0,0301,98,3,0
0301,100,1,0,Øvre Fossum,0,116,78,0,0,0,0301,100,1,0
0301,100,39,0,,0,9,81,0,0,0,0301,100,39,0
0301,100,76,0,STOVNER VG.SKOLE,0,0,14,0,0,0,0301,100,76,0
0301,104,3,0,Sletta,0,4,43,0,0,0,0301,104,3,0
0301,105,117,0,,0,25,0,0,0,0,0301,105,117,0
0301,105,150,0,,5,4,5,0,0,5,0301,105,150,0
0301,105,379,0,,0,1372,28,0,0,0,0301,105,379,0
0301,105,402,0,AREAL:SE MERKN.,0,0,17,0,0,0,0301,105,402,0
0301,105,718,0,,0,0,11,0,0,0,0301,105,718,0
0301,109,1,0,Ellingsrud,22,14732,2349,19,0,3,0301,109,1,0
0301,109,8,0,Ellingsrud,0,49,0,0,0,0,0301,109,1,0
0301,109,9,0,Ellingsrud,43,697,265,34,0,9,0301,109,1,0
0301,112,11,0,Ellingsrud,0,143,2,0,0,0,0301,109,1,0
0301,113,12,0,Ellingsrud,0,30,35,0,0,0,0301,109,1,0
0301,141,72,0,Ellingsrud,0,299,27,0,0,0,0301,109,1,0
0301,143,143,0,Ellingsrud,0,179,30,0,0,0,0301,109,1,0
0301,144,1,0,Ellingsrud,0,394,316,0,0,0,0301,109,1,0
0301,144,989,0,Ellingsrud,0,204,266,0,0,0,0301,109,1,0
0301,147,379,0,Ellingsrud,20,5,1,16,0,4,0301,109,1,0
0301,167,11,0,Ellingsrud,4,2252,554,0,0,4,0301,109,1,0
0301,167,204,0,Ellingsrud,0,158,1,0,0,0,0301,109,1,0
0301,168,55,0,Ellingsrud,0,436,112,0,0,0,0301,109,1,0
0301,169,1,0,Ellingsrud,0,444,15,0,0,0,0301,109,1,0
0301,169,3,0,Ellingsrud,0,245,40,0,0,0,0301,109,1,0
0301,170,2,0,Ellingsrud,2,2021,472,2,0,0,0301,109,1,0
0301,171,5,0,Ellingsrud,11,162,142,11,0,0,0301,109,1,0
0301,171,7,0,Ellingsrud,0,273,1,0,0,0,0301,109,1,0
0301,171,11,0,Ellingsrud,10,382,14,10,0,0,0301,109,1,0
0301,171,49,0,Ellingsrud,0,307,14,0,0,0,0301,109,1,0
0301,172,4,0,Ellingsrud,13,19,3,5,6,2,0301,109,1,0
0301,172,103,0,Ellingsrud,0,168,0,0,0,0,0301,109,1,0
0301,173,3,0,Ellingsrud,15,32,8,7,0,8,0301,109,1,0
0301,173,17,0,Ellingsrud,0,22,1,0,0,0,0301,109,1,0
0301,173,18,0,Ellingsrud,0,43,1,0,0,0,0301,109,1,0
0301,173,40,0,Ellingsrud,6,87,2,6,0,0,0301,109,1,0
0301,173,43,0,Ellingsrud,0,343,52,0,0,0,0301,109,1,0
0301,173,44,0,Ellingsrud,10,13,9,10,0,0,0301,109,1,0
0301,173,46,0,Ellingsrud,0,870,78,0,0,0,0301,109,1,0
0301,173,47,0,Ellingsrud,14,52,3,12,2,0,0301,109,1,0
0301,174,5,0,Ellingsrud,2,5775,569,2,0,0,0301,109,1,0
0301,174,106,0,Ellingsrud,0,116,22,0,0,0,0301,109,1,0
0301,177,1,0,Ellingsrud,0,102,34,0,0,0,0301,109,1,0
0301,178,1,0,Ellingsrud,43,128,79,43,0,0,0301,109,1,0
0301,179,2,0,Ellingsrud,0,132,34,0,0,0,0301,109,1,0
0301,186,1,0,Ellingsrud,0,94,57,0,0,0,0301,109,1,0
0301,188,1,0,Ellingsrud,28,1397,127,0,5,23,0301,109,1,0
0301,109,68,0,Ellingsrud gård,0,0,18,0,0,0,0301,109,68,0
0301,112,5,0,JERIKO,0,39,0,0,0,0,0301,112,5,0
0301,112,7,0,GRØNLIEN,0,22,0,0,0,0,0301,112,7,0
0301,112,46,0,,31,4,17,31,0,0,0301,112,46,0
0301,112,219,0,LINNEBERG,3,10,1,3,0,0,0301,112,219,0
0301,113,1,0,Søndre Lindeberg,0,509,28,0,0,0,0301,113,1,0
0301,114,1,0,KJELSRUD,0,1,73,0,0,0,0301,114,1,0
0301,116,2,0,KAGGEN,0,0,19,0,0,0,0301,116,2,0
0301,117,1,0,Arveset,0,0,29,0,0,0,0301,117,1,0
0301,133,44,0,,0,0,3,0,0,0,0301,133,44,0
0301,139,48,0,,0,0,1,0,0,0,0301,139,48,0
0301,140,41,0,,0,0,65,0,0,0,0301,140,41,0
0301,141,82,0,,0,0,1,0,0,0,0301,141,82,0
0301,141,109,0,,0,0,23,0,0,0,0301,141,109,0
0301,143,1,0,Øvre Hellerud,0,8,15,0,0,0,0301,143,1,0
0301,143,237,0,,0,0,1,0,0,0,0301,143,237,0
0301,143,521,0,,0,0,1,0,0,0,0301,143,521,0
0301,144,1168,0,,0,181,23,0,0,0,0301,144,1168,0
0301,144,1652,0,,0,16,4,0,0,0,0301,144,1168,0
0301,144,1604,0,,0,0,9,0,0,0,0301,144,1604,0
0301,147,1,0,Søndre Østensjø,56,2,18,56,0,0,0301,147,1,0
